THIN Results generated:

Change of indexdate - there were 326 changes to the index dates. NB Using these will bias in the direction of no effect. 


DKA proxy presentations (number) in last 100 days in cases
timebeforeindex	sumdkabydate
0	165
1	12
2	9
3	14
4	13
5	10
6	9
7	5
8	3
9	2
10	2
11	7
12	2
13	1
14	2
15	0
16	0
17	1
18	2
19	2
20	1
21	3
22	1
23	3
24	2
25	2
26	2
27	3
28	1
29	1
30	2
31	2
32	1
33	2
34	0
35	0
36	2
37	4
38	1
39	1
40	1
41	2
42	1
43	1
44	1
45	0
46	0
47	0
48	0
49	2
50	0
51	0
52	0
53	0
54	0
55	1
56	2
57	0
58	1
59	1
60	0
61	0
62	0
63	0
64	0
65	2
66	1
67	0
68	0
69	0
70	1
71	1
72	1
73	1
74	1
75	1
76	3
77	0
78	0
79	1
80	0
81	2
82	0
83	2
84	2
85	1
86	0
87	1
88	2
89	1
90	1
91	1
92	0
93	0
94	1
95	1
96	1
97	1
98	1
99	0

